Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
0,1,0.43330730000000983,0.40093160000000694,0.032375700000002894,21,0.0,0.0,0,1,0,4
0,2,0.8010260000000073,0.7602049999999991,0.04082100000000821,24,0.0,0.0,0,1,0,4
0,3,0.3988049000000018,0.3675580000000025,0.0312468999999993,18,0.0,0.0,0,2,0,4
0,4,0.4740105999999997,0.4404368000000005,0.03357379999999921,20,0.0,0.0,0,1,0,4
0,5,0.7745938000000052,0.7340653000000117,0.04052849999999353,27,0.0,0.0,0,0,0,4
0,6,0.6535082000000045,0.6198927000000083,0.033615499999996246,22,0.0,0.0,0,1,0,4
0,7,0.5416802999999959,0.5050529999999895,0.03662730000000636,21,0.0,0.0,0,1,0,4
0,8,0.3359020000000186,0.30597230000000764,0.02992970000001094,19,0.0,0.0,0,0,0,4
0,9,0.9830596999999841,0.9464804999999927,0.036579199999991374,24,0.0,0.0,0,2,0,4
1,2,0.5220202999999941,0.4861880999999926,0.035832200000001535,25,0.0,0.0,0,0,0,4
1,3,0.321008599999999,0.2925868999999892,0.028421700000009764,19,0.0,0.0,0,2,0,4
1,4,0.33844770000000324,0.30811429999999973,0.030333400000003508,21,0.0,0.0,0,0,0,4
1,5,0.7615315999999979,0.7236546999999973,0.037876900000000546,28,0.0,0.0,0,1,0,4
1,6,0.49990820000000724,0.3828236000000089,0.11708459999999832,23,0.0,0.0,0,0,0,4
1,7,0.3892138000000074,0.3557624999999973,0.033451300000010065,22,0.0,0.0,0,0,0,4
1,8,0.3285987000000148,0.3019904000000082,0.02660830000000658,20,0.0,0.0,0,1,0,4
1,9,0.796599999999998,0.7569412,0.039658799999997996,25,0.0,0.0,0,2,0,4
2,3,0.6477588000000054,0.6102771999999987,0.037481600000006665,22,0.0,0.0,0,2,0,4
2,4,0.6005066000000028,0.5601225000000056,0.04038409999999715,24,0.0,0.0,0,0,0,4
2,5,1.2481650000000002,1.2020849000000027,0.046080099999997515,31,0.0,0.0,0,1,0,4
2,6,0.704937600000008,0.661260800000008,0.04367680000000007,26,0.0,0.0,0,0,0,4
